0,1,2,3,4,5,6,7,8,9,10
sausage,frozen fruits,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
tropical fruit,sausage,root vegetables,spread cheese,,,,,,,
soda,UHT-milk,pastry,domestic eggs,,,,,,,
sausage,margarine,,,,,,,,,
root vegetables,root vegetables,processed cheese,frozen fish,,,,,,,
rolls/buns,semi-finished bread,fruit/vegetable juice,,,,,,,,
yogurt,detergent,,,,,,,,,
root vegetables,yogurt,chocolate,shopping bags,,,,,,,
ham,citrus fruit,,,,,,,,,
pastry,newspapers,,,,,,,,,
UHT-milk,newspapers,salty snack,,,,,,,,
whole milk,soda,,,,,,,,,
rolls/buns,canned beer,brown bread,dessert,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
root vegetables,instant coffee,,,,,,,,,
dental care,other vegetables,pet care,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
yogurt,pasta,,,,,,,,,
ice cream,yogurt,,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
ready soups,baking powder,,,,,,,,,
photo/film,whole milk,shopping bags,,,,,,,,
sausage,frozen dessert,,,,,,,,,
tropical fruit,cat food,soda,,,,,,,,
canned beer,beef,,,,,,,,,
semi-finished bread,ketchup,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
other vegetables,chewing gum,soft cheese,,,,,,,,
liquor,brandy,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
canned beer,pastry,butter,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
beef,sparkling wine,butter milk,misc. beverages,pastry,,,,,,
root vegetables,waffles,cream cheese ,,,,,,,,
beef,pork,,,,,,,,,
pork,rolls/buns,specialty bar,hygiene articles,,,,,,,
citrus fruit,yogurt,,,,,,,,,
white bread,bottled beer,yogurt,berries,,,,,,,
hamburger meat,coffee,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
liquor,UHT-milk,,,,,,,,,
frozen potato products,whole milk,pastry,rolls/buns,candy,bottled beer,,,,,
root vegetables,frozen vegetables,pet care,,,,,,,,
candy,soda,,,,,,,,,
soda,frozen potato products,white wine,,,,,,,,
whole milk,white bread,,,,,,,,,
tropical fruit,popcorn,,,,,,,,,
pip fruit,frozen vegetables,,,,,,,,,
tropical fruit,house keeping products,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
hygiene articles,rolls/buns,red/blush wine,,,,,,,,
hygiene articles,chocolate,soups,,,,,,,,
photo/film,frozen potato products,,,,,,,,,
butter milk,zwieback,pot plants,,,,,,,,
whole milk,pip fruit,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
beef,domestic eggs,,,,,,,,,
root vegetables,pastry,,,,,,,,,
other vegetables,citrus fruit,root vegetables,whipped/sour cream,,,,,,,
photo/film,liquor (appetizer),,,,,,,,,
coffee,pip fruit,,,,,,,,,
chicken,root vegetables,,,,,,,,,
sliced cheese,whole milk,,,,,,,,,
ham,ice cream,,,,,,,,,
newspapers,curd,turkey,curd,misc. beverages,bottled beer,,,,,
whole milk,butter milk,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
root vegetables,chewing gum,margarine,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pip fruit,pastry,,,,,,,,,
bottled water,long life bakery product,rolls/buns,,,,,,,,
pastry,beverages,,,,,,,,,
dessert,canned beer,specialty chocolate,,,,,,,,
pork,canned beer,specialty bar,,,,,,,,
rum,coffee,sliced cheese,,,,,,,,
canned beer,meat,,,,,,,,,
chewing gum,whole milk,white bread,whole milk,dishes,,,,,,
organic sausage,frozen meals,sugar,,,,,,,,
canned beer,shopping bags,rolls/buns,yogurt,butter milk,,,,,,
beverages,cat food,,,,,,,,,
dessert,butter,,,,,,,,,
soda,frozen fish,rolls/buns,,,,,,,,
tropical fruit,domestic eggs,chocolate,,,,,,,,
condensed milk,whole milk,,,,,,,,,
tropical fruit,dishes,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
pastry,snack products,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
whole milk,newspapers,,,,,,,,,
sausage,soda,,,,,,,,,
newspapers,bottled beer,domestic eggs,,,,,,,,
brown bread,frozen meals,herbs,whole milk,hard cheese,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
sausage,bottled water,,,,,,,,,
white wine,canned vegetables,,,,,,,,,
pastry,sausage,soda,rolls/buns,sugar,soda,other vegetables,whole milk,softener,,
oil,shopping bags,,,,,,,,,
whole milk,curd cheese,root vegetables,pastry,,,,,,,
cat food,candles,whole milk,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
pork,cream cheese ,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
sausage,whole milk,jam,yogurt,,,,,,,
sauces,yogurt,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
frankfurter,hard cheese,,,,,,,,,
tropical fruit,canned beer,detergent,bottled water,,,,,,,
whole milk,shopping bags,,,,,,,,,
other vegetables,napkins,white wine,,,,,,,,
whole milk,whole milk,,,,,,,,,
beef,curd,frozen meals,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
whole milk,sausage,pork,coffee,,,,,,,
pip fruit,pip fruit,sliced cheese,dishes,,,,,,,
canned beer,curd,pastry,,,,,,,,
frozen vegetables,salty snack,,,,,,,,,
rolls/buns,butter,,,,,,,,,
domestic eggs,berries,,,,,,,,,
liquor,red/blush wine,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
grapes,canned beer,frozen dessert,sugar,detergent,,,,,,
yogurt,potato products,,,,,,,,,
cream cheese ,sausage,whole milk,pip fruit,,,,,,,
hard cheese,cream cheese ,,,,,,,,,
frankfurter,herbs,,,,,,,,,
soda,frozen meals,bottled beer,,,,,,,,
sausage,tropical fruit,,,,,,,,,
root vegetables,packaged fruit/vegetables,,,,,,,,,
domestic eggs,specialty cheese,,,,,,,,,
beef,waffles,citrus fruit,waffles,,,,,,,
tropical fruit,rolls/buns,frozen fish,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
yogurt,napkins,rolls/buns,liquor (appetizer),,,,,,,
margarine,brown bread,,,,,,,,,
shopping bags,whole milk,cling film/bags,bottled beer,newspapers,,,,,,
ice cream,pork,,,,,,,,,
sausage,white bread,,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
bottled beer,oil,,,,,,,,,
grapes,chicken,bottled beer,root vegetables,,,,,,,
other vegetables,brown bread,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
frankfurter,pip fruit,pip fruit,whole milk,candy,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
pip fruit,sausage,red/blush wine,coffee,salt,pastry,,,,,
soda,butter,rolls/buns,,,,,,,,
pip fruit,domestic eggs,seasonal products,,,,,,,,
pip fruit,whole milk,whole milk,,,,,,,,
meat,pip fruit,yogurt,,,,,,,,
whole milk,butter,,,,,,,,,
rolls/buns,whole milk,frozen vegetables,newspapers,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
beef,salty snack,,,,,,,,,
pastry,herbs,,,,,,,,,
curd,soda,rolls/buns,,,,,,,,
berries,soda,bottled beer,,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
turkey,shopping bags,,,,,,,,,
fruit/vegetable juice,canned fish,light bulbs,long life bakery product,,,,,,,
whole milk,brown bread,pastry,dessert,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
beverages,domestic eggs,,,,,,,,,
whole milk,white bread,,,,,,,,,
whole milk,curd,,,,,,,,,
newspapers,chocolate,,,,,,,,,
yogurt,long life bakery product,onions,hygiene articles,sugar,,,,,,
waffles,rolls/buns,,,,,,,,,
tropical fruit,butter,frozen fruits,,,,,,,,
oil,bottled beer,,,,,,,,,
frankfurter,pickled vegetables,other vegetables,,,,,,,,
cereals,bottled water,,,,,,,,,
soda,photo/film,,,,,,,,,
hygiene articles,bottled water,,,,,,,,,
pip fruit,brandy,,,,,,,,,
sausage,whole milk,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
tropical fruit,soda,oil,,,,,,,,
canned vegetables,whole milk,,,,,,,,,
beef,canned beer,,,,,,,,,
yogurt,ice cream,,,,,,,,,
sugar,brown bread,,,,,,,,,
whole milk,beef,,,,,,,,,
processed cheese,whole milk,soda,domestic eggs,,,,,,,
pip fruit,curd,canned beer,pork,bottled beer,frozen dessert,dessert,bottled water,,,
soda,soda,,,,,,,,,
pork,bottled water,bottled water,,,,,,,,
turkey,pip fruit,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
root vegetables,other vegetables,bottled beer,softener,,,,,,,
chicken,dessert,,,,,,,,,
yogurt,photo/film,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
domestic eggs,white bread,whipped/sour cream,,,,,,,,
pork,canned beer,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
beverages,bottled beer,domestic eggs,chocolate,,,,,,,
whole milk,cat food,,,,,,,,,
tropical fruit,herbs,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
long life bakery product,soda,,,,,,,,,
napkins,skin care,,,,,,,,,
soda,onions,cream cheese ,,,,,,,,
rolls/buns,soda,other vegetables,pip fruit,,,,,,,
soda,grapes,,,,,,,,,
liver loaf,processed cheese,,,,,,,,,
chewing gum,instant coffee,,,,,,,,,
hamburger meat,dessert,,,,,,,,,
beef,specialty bar,rolls/buns,,,,,,,,
tropical fruit,sausage,bottled beer,curd,misc. beverages,waffles,fruit/vegetable juice,mayonnaise,,,
rolls/buns,light bulbs,long life bakery product,,,,,,,,
UHT-milk,herbs,newspapers,,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
semi-finished bread,berries,,,,,,,,,
other vegetables,cream cheese ,tropical fruit,root vegetables,specialty chocolate,,,,,,
margarine,UHT-milk,brown bread,,,,,,,,
whole milk,dessert,dish cleaner,,,,,,,,
butter milk,whole milk,brandy,,,,,,,,
tropical fruit,whole milk,liquor,,,,,,,,
beef,instant coffee,,,,,,,,,
sparkling wine,tropical fruit,,,,,,,,,
tropical fruit,yogurt,bottled water,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
flower soil/fertilizer,rolls/buns,yogurt,ice cream,whipped/sour cream,,,,,,
soda,bottled water,whole milk,other vegetables,hygiene articles,,,,,,
bottled water,grapes,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
rolls/buns,liquor (appetizer),,,,,,,,,
cake bar,butter milk,,,,,,,,,
soda,bottled water,whipped/sour cream,,,,,,,,
fish,sausage,other vegetables,soda,rolls/buns,,,,,,
root vegetables,frozen meals,shopping bags,margarine,,,,,,,
beef,shopping bags,,,,,,,,,
beverages,margarine,napkins,napkins,,,,,,,
pip fruit,beverages,zwieback,,,,,,,,
turkey,specialty bar,,,,,,,,,
herbs,domestic eggs,,,,,,,,,
frozen potato products,frozen vegetables,,,,,,,,,
nuts/prunes,whole milk,,,,,,,,,
pork,whole milk,napkins,,,,,,,,
canned beer,chocolate,,,,,,,,,
chocolate,margarine,bottled water,soda,,,,,,,
pastry,pip fruit,rolls/buns,yogurt,,,,,,,
liquor (appetizer),liquor,,,,,,,,,
whole milk,bottled water,,,,,,,,,
frankfurter,other vegetables,bottled beer,,,,,,,,
roll products ,toilet cleaner,,,,,,,,,
ham,white wine,shopping bags,,,,,,,,
pork,beverages,frozen fish,,,,,,,,
yogurt,whole milk,,,,,,,,,
pork,liquor,,,,,,,,,
yogurt,whole milk,,,,,,,,,
bottled beer,root vegetables,,,,,,,,,
newspapers,soda,,,,,,,,,
bottled water,cream cheese ,bottled beer,,,,,,,,
dessert,newspapers,domestic eggs,,,,,,,,
yogurt,bottled beer,,,,,,,,,
whole milk,margarine,,,,,,,,,
sausage,whole milk,semi-finished bread,yogurt,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
hard cheese,bottled beer,whole milk,liquor (appetizer),,,,,,,
cream cheese ,tropical fruit,bottled water,soda,specialty bar,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
pastry,pet care,margarine,,,,,,,,
other vegetables,mustard,,,,,,,,,
frankfurter,curd,specialty cheese,,,,,,,,
other vegetables,waffles,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
ham,whole milk,brown bread,,,,,,,,
citrus fruit,sugar,,,,,,,,,
hamburger meat,liquor (appetizer),liver loaf,dessert,,,,,,,
citrus fruit,shopping bags,chewing gum,cake bar,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
dessert,butter,,,,,,,,,
tropical fruit,soft cheese,,,,,,,,,
sliced cheese,bottled water,,,,,,,,,
sugar,other vegetables,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
soda,beef,,,,,,,,,
UHT-milk,whole milk,herbs,,,,,,,,
ice cream,long life bakery product,,,,,,,,,
beef,pip fruit,,,,,,,,,
chicken,root vegetables,dish cleaner,,,,,,,,
sausage,domestic eggs,sugar,,,,,,,,
sugar,napkins,,,,,,,,,
rolls/buns,domestic eggs,coffee,,,,,,,,
whole milk,pip fruit,pasta,yogurt,,,,,,,
meat,whole milk,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
coffee,butter,whipped/sour cream,other vegetables,,,,,,,
meat,domestic eggs,,,,,,,,,
rolls/buns,domestic eggs,butter,butter,,,,,,,
citrus fruit,white wine,bottled beer,newspapers,cat food,,,,,,
whole milk,rolls/buns,,,,,,,,,
soda,red/blush wine,,,,,,,,,
margarine,long life bakery product,,,,,,,,,
whipped/sour cream,tropical fruit,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
butter,white bread,,,,,,,,,
frozen vegetables,flower (seeds),,,,,,,,,
meat,margarine,,,,,,,,,
soda,cream cheese ,,,,,,,,,
oil,specialty vegetables,,,,,,,,,
brown bread,grapes,bottled water,soda,,,,,,,
frozen vegetables,salad dressing,,,,,,,,,
soda,pip fruit,,,,,,,,,
pip fruit,curd,pip fruit,prosecco,,,,,,,
whole milk,rolls/buns,,,,,,,,,
curd,citrus fruit,rolls/buns,other vegetables,dessert,,,,,,
waffles,chocolate,,,,,,,,,
whole milk,bottled water,,,,,,,,,
other vegetables,soda,,,,,,,,,
whole milk,sugar,,,,,,,,,
whole milk,waffles,shopping bags,,,,,,,,
tropical fruit,cream cheese ,cream cheese ,,,,,,,,
detergent,misc. beverages,,,,,,,,,
root vegetables,coffee,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
semi-finished bread,pip fruit,,,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
hamburger meat,soda,pastry,newspapers,,,,,,,
dessert,herbs,detergent,artif. sweetener,,,,,,,
margarine,cereals,,,,,,,,,
finished products,curd cheese,,,,,,,,,
beverages,yogurt,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
sugar,whole milk,,,,,,,,,
ham,root vegetables,,,,,,,,,
beef,soda,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
tropical fruit,butter,,,,,,,,,
rolls/buns,fruit/vegetable juice,frozen vegetables,whipped/sour cream,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
turkey,frozen dessert,shopping bags,,,,,,,,
frozen meals,root vegetables,cat food,,,,,,,,
dessert,bottled water,,,,,,,,,
tropical fruit,soda,,,,,,,,,
whole milk,other vegetables,rolls/buns,Instant food products,,,,,,,
whole milk,whole milk,,,,,,,,,
pastry,syrup,,,,,,,,,
semi-finished bread,newspapers,,,,,,,,,
salt,seasonal products,,,,,,,,,
chicken,yogurt,UHT-milk,root vegetables,yogurt,hard cheese,semi-finished bread,frozen potato products,,,
fruit/vegetable juice,candy,fruit/vegetable juice,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
rolls/buns,pork,,,,,,,,,
frankfurter,frankfurter,butter,domestic eggs,margarine,other vegetables,,,,,
frankfurter,other vegetables,fruit/vegetable juice,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
bottled beer,beverages,hard cheese,fruit/vegetable juice,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
syrup,whole milk,,,,,,,,,
soda,candles,rolls/buns,,,,,,,,
onions,root vegetables,soap,cream cheese ,,,,,,,
fish,root vegetables,,,,,,,,,
ice cream,whole milk,,,,,,,,,
root vegetables,specialty cheese,,,,,,,,,
soda,other vegetables,other vegetables,soda,,,,,,,
frozen meals,sugar,,,,,,,,,
curd,frozen meals,,,,,,,,,
salty snack,napkins,sugar,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
citrus fruit,dessert,bottled water,,,,,,,,
hamburger meat,sliced cheese,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
other vegetables,brown bread,flower (seeds),,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
beef,other vegetables,,,,,,,,,
soda,bottled beer,brown bread,,,,,,,,
bottled water,yogurt,spices,fruit/vegetable juice,,,,,,,
pastry,curd,bottled beer,,,,,,,,
whole milk,whole milk,cat food,canned beer,,,,,,,
dessert,shopping bags,,,,,,,,,
pet care,mustard,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
whole milk,sausage,whole milk,yogurt,cake bar,female sanitary products,soda,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
butter,misc. beverages,shopping bags,,,,,,,,
chewing gum,frozen vegetables,,,,,,,,,
sauces,herbs,,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
whole milk,napkins,pastry,long life bakery product,,,,,,,
rolls/buns,other vegetables,curd,spread cheese,candles,,,,,,
other vegetables,beverages,,,,,,,,,
bottled water,dishes,,,,,,,,,
rum,sugar,,,,,,,,,
cream cheese ,citrus fruit,sauces,red/blush wine,,,,,,,
pip fruit,bottled beer,,,,,,,,,
whole milk,curd,rolls/buns,rolls/buns,,,,,,,
hard cheese,white wine,,,,,,,,,
female sanitary products,cleaner,coffee,sauces,,,,,,,
butter milk,beverages,butter,,,,,,,,
whole milk,pastry,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
candy,bottled water,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
citrus fruit,soda,whipped/sour cream,,,,,,,,
other vegetables,canned beer,,,,,,,,,
long life bakery product,whole milk,,,,,,,,,
pip fruit,ice cream,newspapers,pastry,,,,,,,
sausage,rolls/buns,,,,,,,,,
herbs,newspapers,,,,,,,,,
chicken,bottled water,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
UHT-milk,beverages,,,,,,,,,
pip fruit,pastry,,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
whole milk,canned fish,,,,,,,,,
organic sausage,soda,rolls/buns,,,,,,,,
beef,butter milk,,,,,,,,,
pastry,semi-finished bread,dishes,napkins,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
chocolate,mustard,white bread,,,,,,,,
citrus fruit,baking powder,,,,,,,,,
tropical fruit,other vegetables,dessert,,,,,,,,
grapes,canned fish,,,,,,,,,
abrasive cleaner,citrus fruit,whole milk,long life bakery product,,,,,,,
soft cheese,soda,root vegetables,root vegetables,rolls/buns,root vegetables,margarine,shopping bags,,,
tropical fruit,rolls/buns,candy,,,,,,,,
berries,shopping bags,,,,,,,,,
other vegetables,seasonal products,,,,,,,,,
frozen dessert,hard cheese,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
root vegetables,detergent,,,,,,,,,
nuts/prunes,long life bakery product,,,,,,,,,
pastry,baking powder,butter,margarine,curd,dishes,,,,,
citrus fruit,whipped/sour cream,onions,other vegetables,butter,,,,,,
dessert,berries,newspapers,onions,,,,,,,
whole milk,chocolate,rolls/buns,brown bread,,,,,,,
pot plants,butter milk,margarine,,,,,,,,
nuts/prunes,margarine,,,,,,,,,
specialty chocolate,pip fruit,,,,,,,,,
yogurt,pastry,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
cat food,domestic eggs,,,,,,,,,
meat,pastry,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
detergent,ham,whole milk,pip fruit,,,,,,,
root vegetables,margarine,,,,,,,,,
beef,misc. beverages,,,,,,,,,
UHT-milk,coffee,yogurt,,,,,,,,
pork,white wine,margarine,,,,,,,,
brown bread,packaged fruit/vegetables,,,,,,,,,
ham,cake bar,whole milk,,,,,,,,
whole milk,beverages,,,,,,,,,
newspapers,misc. beverages,,,,,,,,,
meat,cream cheese ,,,,,,,,,
domestic eggs,yogurt,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
hamburger meat,candy,napkins,,,,,,,,
bottled water,yogurt,,,,,,,,,
dessert,packaged fruit/vegetables,,,,,,,,,
rolls/buns,grapes,bottled beer,sausage,salty snack,Instant food products,domestic eggs,bottled water,,,
meat,beef,curd,,,,,,,,
newspapers,bottled water,hard cheese,,,,,,,,
other vegetables,other vegetables,dishes,,,,,,,,
pastry,sugar,,,,,,,,,
rolls/buns,butter milk,fruit/vegetable juice,,,,,,,,
sausage,hamburger meat,newspapers,,,,,,,,
tropical fruit,mustard,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
whole milk,whole milk,canned beer,Instant food products,,,,,,,
rolls/buns,root vegetables,frozen vegetables,waffles,,,,,,,
sausage,curd,,,,,,,,,
soda,root vegetables,,,,,,,,,
sausage,other vegetables,,,,,,,,,
chocolate,coffee,,,,,,,,,
citrus fruit,soda,,,,,,,,,
canned fruit,whipped/sour cream,,,,,,,,,
tropical fruit,yogurt,fruit/vegetable juice,,,,,,,,
canned fish,fruit/vegetable juice,,,,,,,,,
butter,shopping bags,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
coffee,hygiene articles,yogurt,,,,,,,,
ice cream,root vegetables,,,,,,,,,
soft cheese,pip fruit,,,,,,,,,
soda,long life bakery product,,,,,,,,,
mayonnaise,decalcifier,,,,,,,,,
sausage,soda,,,,,,,,,
whole milk,bottled water,,,,,,,,,
other vegetables,candy,,,,,,,,,
dessert,domestic eggs,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
other vegetables,coffee,,,,,,,,,
bottled water,cooking chocolate,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
rolls/buns,tropical fruit,soda,dessert,,,,,,,
pip fruit,citrus fruit,other vegetables,white wine,frozen vegetables,,,,,,
whole milk,bottled water,,,,,,,,,
margarine,rolls/buns,seasonal products,,,,,,,,
frozen vegetables,salty snack,other vegetables,curd,hygiene articles,,,,,,
whole milk,cream cheese ,,,,,,,,,
curd,cream cheese ,domestic eggs,,,,,,,,
salty snack,pastry,oil,,,,,,,,
whole milk,canned beer,newspapers,whipped/sour cream,,,,,,,
frozen meals,margarine,semi-finished bread,,,,,,,,
soda,curd cheese,root vegetables,semi-finished bread,,,,,,,
other vegetables,white bread,,,,,,,,,
root vegetables,seasonal products,,,,,,,,,
onions,curd,,,,,,,,,
sausage,bottled beer,whole milk,frozen vegetables,,,,,,,
sausage,bottled beer,dessert,butter,cream cheese ,other vegetables,canned beer,brown bread,,,
pip fruit,canned beer,soft cheese,soft cheese,canned fish,semi-finished bread,newspapers,napkins,,,
beef,pastry,,,,,,,,,
pastry,kitchen towels,,,,,,,,,
chocolate,brown bread,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
beef,yogurt,,,,,,,,,
other vegetables,grapes,,,,,,,,,
sausage,frozen potato products,,,,,,,,,
meat,canned beer,,,,,,,,,
curd,brown bread,,,,,,,,,
frankfurter,bottled water,shopping bags,finished products,yogurt,newspapers,tropical fruit,liquor (appetizer),dog food,,
chicken,whisky,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
whole milk,soda,root vegetables,pastry,specialty fat,bottled water,napkins,tropical fruit,,,
soda,canned beer,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
rolls/buns,UHT-milk,,,,,,,,,
curd,condensed milk,dental care,,,,,,,,
salty snack,red/blush wine,,,,,,,,,
yogurt,whole milk,,,,,,,,,
sausage,dessert,,,,,,,,,
brown bread,whole milk,shopping bags,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
photo/film,soda,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
other vegetables,other vegetables,rolls/buns,,,,,,,,
tropical fruit,UHT-milk,napkins,whole milk,,,,,,,
sausage,roll products ,,,,,,,,,
other vegetables,chicken,,,,,,,,,
sugar,berries,seasonal products,bottled beer,,,,,,,
yogurt,shopping bags,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
ham,flour,whipped/sour cream,,,,,,,,
bottled water,chicken,other vegetables,ketchup,,,,,,,
sausage,white wine,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
meat,hamburger meat,,,,,,,,,
shopping bags,bottled beer,,,,,,,,,
tropical fruit,napkins,long life bakery product,,,,,,,,
margarine,mayonnaise,,,,,,,,,
pastry,whole milk,,,,,,,,,
misc. beverages,tropical fruit,yogurt,specialty chocolate,,,,,,,
frankfurter,female sanitary products,,,,,,,,,
beef,soda,,,,,,,,,
pip fruit,specialty fat,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
yogurt,domestic eggs,pasta,,,,,,,,
sliced cheese,shopping bags,,,,,,,,,
sliced cheese,skin care,,,,,,,,,
ice cream,shopping bags,,,,,,,,,
frozen potato products,rolls/buns,,,,,,,,,
yogurt,soda,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
other vegetables,shopping bags,specialty bar,,,,,,,,
long life bakery product,fruit/vegetable juice,,,,,,,,,
chicken,waffles,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
yogurt,other vegetables,red/blush wine,domestic eggs,,,,,,,
root vegetables,frozen dessert,beverages,,,,,,,,
pip fruit,processed cheese,yogurt,,,,,,,,
berries,napkins,,,,,,,,,
meat,pip fruit,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
pip fruit,beverages,pastry,,,,,,,,
rolls/buns,beef,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
pastry,bottled beer,,,,,,,,,
sausage,rum,,,,,,,,,
sausage,canned beer,rum,spices,,,,,,,
domestic eggs,soda,,,,,,,,,
onions,root vegetables,,,,,,,,,
frozen vegetables,pip fruit,root vegetables,cereals,,,,,,,
sausage,rolls/buns,,,,,,,,,
root vegetables,margarine,,,,,,,,,
canned beer,cream cheese ,,,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
rolls/buns,soda,,,,,,,,,
onions,cat food,,,,,,,,,
domestic eggs,citrus fruit,,,,,,,,,
whipped/sour cream,chewing gum,,,,,,,,,
beef,domestic eggs,pastry,,,,,,,,
citrus fruit,yogurt,rolls/buns,,,,,,,,
berries,sugar,,,,,,,,,
butter,sauces,,,,,,,,,
butter milk,bottled water,,,,,,,,,
turkey,shopping bags,,,,,,,,,
salt,domestic eggs,,,,,,,,,
salty snack,chocolate,,,,,,,,,
dessert,bottled beer,,,,,,,,,
chicken,fruit/vegetable juice,cake bar,,,,,,,,
